Name,Address,City,State,State_name,Zip,Sales,Number_emp,Empsiz
HIMALAYAN SALT CO,159 MEMORIAL DR # A,SHREWSBURY,MA,Massachusetts,01545,690,6,B
BYRNE DAIRY,211 MEMORIAL DR,SHREWSBURY,MA,Massachusetts,01545,575,5,B
EVIE'S CAKE CRAFTS,149 MEMORIAL DR,SHREWSBURY,MA,Massachusetts,01545,71,1,A
REGATTA DELI WHOLE FOODS,6 HARTFORD TPKE,SHREWSBURY,MA,Massachusetts,01545,988,4,A
EDGEMERE MINI MARKET,1 PINELAND AVE # 9,SHREWSBURY,MA,Massachusetts,01545,224,1,A
GRANDES MARKET,59 S QUINSIGAMOND AVE,SHREWSBURY,MA,Massachusetts,01545,494,2,A
DUNKIN' DONUTS,307 HARTFORD TPKE,SHREWSBURY,MA,Massachusetts,01545,784,14,C
DUNKIN' DONUTS,126 HARTFORD TPKE,SHREWSBURY,MA,Massachusetts,01545,672,12,C
HARTFORD PIKE DONUTS INC,126 HARTFORD TPKE,SHREWSBURY,MA,Massachusetts,01545,112,2,A
SHOP AT HOME FOOD SVC,19 FAIRLAWN CIR,SHREWSBURY,MA,Massachusetts,01545,966,6,B
DONUT STAR,204 WORCESTER ST # 1,NORTH GRAFTON,MA,Massachusetts,01536,112,2,A
GOURMET GOODIES & MORE,217 WORCESTER ST,NORTH GRAFTON,MA,Massachusetts,01536,476,4,A
CUMBERLAND FARMS,206 WORCESTER ST,NORTH GRAFTON,MA,Massachusetts,01536,1344,6,B
ULTRAMART CONV MT LLC,215 WORCESTER ST,NORTH GRAFTON,MA,Massachusetts,01536,224,1,A
HIGHWAY MARKET,257 LITTLETON RD,CHELMSFORD,MA,Massachusetts,01824,741,3,A
SAI BABA MARKET,290 LITTLETON RD,CHELMSFORD,MA,Massachusetts,01824,988,4,A
ABS-AMERICAN BUSINESS SYSTMS,315 LITTLETON RD,CHELMSFORD,MA,Massachusetts,01824,2016,9,B
DUNKIN' DONUTS,160 LITTLETON RD # 2,WESTFORD,MA,Massachusetts,01886,1064,19,C
TEDESCHI FOOD SHOPS,103 MAIN ST,WESTFORD,MA,Massachusetts,01886,1344,6,B
MARKET BASKET,160 LITTLETON RD # 16,WESTFORD,MA,Massachusetts,01886,6175,25,D
ON THE RUN,185 LITTLETON RD,WESTFORD,MA,Massachusetts,01886,2464,11,C
MEAT AGAIN INC,1 LAN DR,WESTFORD,MA,Massachusetts,01886,693,3,A
GNC,175 LITTLETON RD # 22,WESTFORD,MA,Massachusetts,01886,604,4,A
DUNKIN' DONUTS,179 LITTLETON RD,WESTFORD,MA,Massachusetts,01886,672,12,C
WESTFORD MARKET & LIQUORS,6 CARLISLE RD,WESTFORD,MA,Massachusetts,01886,672,3,A
DENISE'S,185 NORTH END BLVD,SALISBURY,MA,Massachusetts,01952,224,1,A
WILLEY'S CANDY SHOP,4 BROADWAY,SALISBURY BEACH,MA,Massachusetts,01952,476,4,A
EXPRESS FOOD MART,183 NORTH END BLVD,SALISBURY,MA,Massachusetts,01952,896,4,A
CRUMPETS,29 MAPLE ST,PEPPERELL,MA,Massachusetts,01463,284,4,A
BLOOD FARM,94 W MAIN,WEST GROTON,MA,Massachusetts,01472,2310,10,C
RYERS STORE,162 PARK ST # 1,NORTH READING,MA,Massachusetts,01864,988,4,A
CHRISTOPHER'S MARKET,2 WASHINGTON ST,NORTH READING,MA,Massachusetts,01864,741,3,A
DUNKIN' DONUTS,6 WASHINGTON ST # 2,NORTH READING,MA,Massachusetts,01864,504,9,B
CALIDONNA VEAL INC,32 WESTWARD CIR,NORTH READING,MA,Massachusetts,01864,462,2,A
BELMONT SPRINGS WATER,,PEPPERELL,MA,Massachusetts,01463,460,4,A
KIMBALL FRUIT FARM,184 HOLLIS ST,PEPPERELL,MA,Massachusetts,01463,666,3,A
DONELAN'S SUPERMARKET,75 MAIN ST,PEPPERELL,MA,Massachusetts,01463,4940,20,D
CUMBERLAND FARMS,121 MAIN ST,PEPPERELL,MA,Massachusetts,01463,1792,8,B
WHITE HEN PANTRY,2 TARBELL ST # 2,PEPPERELL,MA,Massachusetts,01463,2240,10,C
DUNKIN' DONUTS,116 MAIN ST # 118,PEPPERELL,MA,Massachusetts,01463,1680,30,D
DUNKIN' DONUTS,238 PLEASANT ST,DUNSTABLE,MA,Massachusetts,01827,616,11,C
PARENTS INC,27 BROADWAY ST,WESTFORD,MA,Massachusetts,01886,741,3,A
DUNKIN' DONUTS,221 GROTON RD,WESTFORD,MA,Massachusetts,01886,616,11,C
TOWNE CONVENIENCE,221 GROTON RD,WESTFORD,MA,Massachusetts,01886,672,3,A
HANNAFORD SUPERMARKET & PHRMCY,22 FITCHBURG RD RT 2A,AYER,MA,Massachusetts,01432,16055,65,E
CUMBERLAND FARMS,60 PARK ST,AYER,MA,Massachusetts,01432,1792,8,B
DUNKIN' DONUTS,16 PARK ST,AYER,MA,Massachusetts,01432,280,5,B
THIRTY ONE MAIN,31 MAIN ST,AYER,MA,Massachusetts,01432,284,4,A
SWEET SORCERY,31 MAIN ST,AYER,MA,Massachusetts,01432,142,2,A
WOO RI FOOD MARKET,1 MILL ST,AYER,MA,Massachusetts,01432,494,2,A
COMMON VIEW FARM,13 COMMON ST,GROTON,MA,Massachusetts,01450,666,3,A
DUNKIN' DONUTS,133 MAIN ST,GROTON,MA,Massachusetts,01450,504,9,B
DONELAN'S SUPERMARKET,250 MAIN ST,GROTON,MA,Massachusetts,01450,7410,30,D
GILSON'S HERB LYCEUM,368 MAIN ST,GROTON,MA,Massachusetts,01450,230,2,A
NATURAL MARKET,148 MAIN ST,GROTON,MA,Massachusetts,01450,1510,10,C
COUNTRY FARM,127 MAIN ST,GROTON,MA,Massachusetts,01450,575,5,B
GILSON GREENHOUSES INC,20 DALE LN,GROTON,MA,Massachusetts,01450,460,4,A
GROTON GENERAL STORE,871 BOSTON RD,GROTON,MA,Massachusetts,01450,741,3,A
DUNKIN' DONUTS,318 MAIN ST,GROTON,MA,Massachusetts,01450,672,12,C
DUNKIN' DONUTS,3 FORGE VILLAGE RD,GROTON,MA,Massachusetts,01450,616,11,C
SHAW'S SUPERMARKET,760 BOSTON RD # A,GROTON,MA,Massachusetts,01450,37050,150,F
GARY'S FARM STAND,600 GREAT RD,LITTLETON,MA,Massachusetts,01460,444,2,A
VILLAGE VARIETY,11 DUNSTABLE RD,NORTH CHELMSFORD,MA,Massachusetts,01863,448,2,A
TEDESCHI FOOD SHOPS,64 BROOKSIDE RD,WESTFORD,MA,Massachusetts,01886,896,4,A
DUNKIN' DONUTS,498 GROTON RD,WESTFORD,MA,Massachusetts,01886,616,11,C
CONVENIENT MANN,17 PLEASANT ST,DUNSTABLE,MA,Massachusetts,01827,896,4,A
BAKING BUDDIES,150 WESTFORD RD,TYNGSBORO,MA,Massachusetts,01879,284,4,A
US FOOD,37 JACQUES RD,TYNGSBORO,MA,Massachusetts,01879,494,2,A
DUNKIN' DONUTS,440 MIDDLESEX RD # 1,TYNGSBORO,MA,Massachusetts,01879,672,12,C
ON THE RUN,95 WESTFORD RD,TYNGSBORO,MA,Massachusetts,01879,2688,12,C
TRADER JOE'S,440 MIDDLESEX RD # 4,TYNGSBORO,MA,Massachusetts,01879,8645,35,D
TRANSITION AUTOMATION,5 TRADERS CIR # D,TYNGSBORO,MA,Massachusetts,01879,1235,5,B
CHELMSFORD GAS & MARKET,81 TYNGSBORO RD,NORTH CHELMSFORD,MA,Massachusetts,01863,896,4,A
DRACUT FOOD PANTRY,1934 LAKEVIEW AVE # 11,DRACUT,MA,Massachusetts,01826,494,2,A
DUNKIN' DONUTS,1198 MAMMOTH RD,DRACUT,MA,Massachusetts,01826,1904,34,D
MR P'S FAMILY FOOD STORE,572 NASHUA RD,DRACUT,MA,Massachusetts,01826,448,2,A
SHAW FARM DAIRY INC,195 NEW BOSTON RD,DRACUT,MA,Massachusetts,01826,2300,20,D
SUGAR COATED BAKERY,1794 BRIDGE ST # 17,DRACUT,MA,Massachusetts,01826,71,1,A
MUDDY RIVER COFFEE & CNVNNC,197 MERRIMACK AVE,DRACUT,MA,Massachusetts,01826,896,4,A
DUNKIN' DONUTS,1777 BRIDGE ST,DRACUT,MA,Massachusetts,01826,1456,26,D
BROWN & BUDNICK MEATS,1794 BRIDGE ST # 16,DRACUT,MA,Massachusetts,01826,693,3,A
WHITE HEN PANTRY,910 ANDOVER ST # 2,TEWKSBURY,MA,Massachusetts,01876,448,2,A
DUNKIN' DONUTS,940 ANDOVER ST,TEWKSBURY,MA,Massachusetts,01876,448,8,B
MICHAEL'S ONE STOP,115 HAMPSON ST,DRACUT,MA,Massachusetts,01826,1120,5,B
DRACUT CONVENIENCE STORE,26 PLEASANT ST,DRACUT,MA,Massachusetts,01826,224,1,A
DRACUT TOWN VARIETY,1734 LAKEVIEW AVE # 15,DRACUT,MA,Massachusetts,01826,2016,9,B
